"id","author_id","work_title","work_type","venue_name","publication_date","citation_count","authors","source","source_url","import_time"
"work_769d929ad9de51ae57ead049","person_cb48f61184c23a94e242a734","The low-mass companion of HIP 45314 (HR 3672)★","journal-article","Monthly Notices of the Royal Astronomical Society","2013-07-21",2,"[""Christian Adam"", ""R. Neuhäuser"", ""M. Mugrauer"", ""Judy Schmidt"", ""T. O. B. Schmidt""]","openalex+crossref","https://openalex.org/W2012110749","2026-06-15 16:14:14"
"work_799af44807963aa708eaf1e8","person_cb48f61184c23a94e242a734","The Hercules-Lyra association revisited","journal-article","Astronomy &amp; Astrophysics","2013-08",43,"[""T. Eisenbeiß"", ""M. Ammler‐von Eiff"", ""T. Roell"", ""M. Mugrauer"", ""Christian Adam"", ""R. Neuhäuser"", ""T. O. B. Schmidt"", ""A. Bedalov""]","openalex+crossref","https://openalex.org/W4293676267","2026-06-15 16:13:19"
"work_1d09b570cbbd57e7707df46b","person_cb48f61184c23a94e242a734","New companions in the stellar systems of DI Cha, Sz 22, CHXR 32, and Cha H<i>α</i>5 in the Chamaeleon I star-forming region","journal-article","Astronomy &amp; Astrophysics","2013-09",20,"[""T. O. B. Schmidt"", ""N. Vogt"", ""R. Neuhäuser"", ""A. Bedalov"", ""T. Roell""]","openalex+crossref","https://openalex.org/W2164255041","2026-06-15 16:13:58"
"work_b7a59c407815225f5a085864","person_cb48f61184c23a94e242a734","Orbital motion of the binary brown dwarf companions HD 130948 BC around their host star","journal-article","Monthly Notices of the Royal Astronomical Society","2013-09-01",18,"[""C. Ginski"", ""R. Neuhäuser"", ""M. Mugrauer"", ""T. O. B. Schmidt"", ""Christian Adam""]","openalex+crossref","https://openalex.org/W1985420892","2026-06-15 16:13:44"
"work_265583129cf316866414fbfa","person_cb48f61184c23a94e242a734","CONSTRAINTS ON A SECOND PLANET IN THE WASP-3 SYSTEM","journal-article","The Astronomical Journal","2013-10-29",59,"[""G. Maciejewski"", ""A. Niedzielski"", ""A. Wolszczan"", ""G. Nowak"", ""R. Neuhäuser"", ""Joshua N. Winn"", ""B. Deka"", ""M. Adamów"", ""M. Górecka"", ""M. Fernández"", ""F. J. Aceituno"", ""J. Ohlert"", ""R. Errmann"", ""Martin Seeliger"", ""D. Dimitrov"", ""David W. Latham"", ""Gilbert A. Esquerdo"", ""Lee W. McKnight"", ""Matthew J. Holman"", ""Eric L. N. Jensen"", ""Ulrike I. Kramm"", ""T. Pribulla"", ""St. Raetz"", ""T. O. B. Schmidt"", ""C. Ginski"", ""S. Mottola"", ""S. Hellmich"", ""Christian Adam"", ""H. Gilbert"", ""M. Mugrauer"", ""G. Saral"", ""V. Popov"", ""M. Raetz""]","openalex+crossref","https://openalex.org/W1984551850","2026-06-15 16:12:56"
"work_971b51af5eb9741ac2523981","person_cb48f61184c23a94e242a734","The Hercules-Lyra Association revisited New age estimation and multiplicity study","article","arXiv (Cornell University)","2013-12-14",25,"[""T. Eisenbeiß"", ""M. Ammler‐von Eiff"", ""T. Roell"", ""M. Mugrauer"", ""Christian Adam"", ""R. Neuhäeuser"", ""T. O. B. Schmidt"", ""A. Bedalov""]","openalex","https://openalex.org/W2046626655","2026-06-15 16:14:22"
"work_fa84afdb4566908c03123677","person_cb48f61184c23a94e242a734","Astrometric monitoring and orbit constraint of the GSC 08047−00232 system with VLT/NaCo","journal-article","Monthly Notices of the Royal Astronomical Society","2014-02-21",6,"[""C. Ginski"", ""M. Mugrauer"", ""R. Neuhäuser"", ""T. O. B. Schmidt""]","openalex+crossref","https://openalex.org/W2324798761","2026-06-15 16:14:10"
"work_53ef9112e3cb95c06cc85f65","person_cb48f61184c23a94e242a734","Investigation of a transiting planet candidate in Trumpler 37: An astro‐physical false positive eclipsing spectroscopic binary star *","journal-article","Astronomische Nachrichten","2014-05",8,"[""R. Errmann"", ""Guillermo Torres"", ""T. O. B. Schmidt"", ""Martin Seeliger"", ""Andrew W. Howard"", ""G. Maciejewski"", ""R. Neuhäuser"", ""S. Meibom"", ""Aglaé Kellerer"", ""D. Dimitrov"", ""B. Dinçel"", ""C. Marka"", ""M. Mugrauer"", ""C. Ginski"", ""Christian Adam"", ""St. Raetz"", ""Judy Schmidt"", ""M. M. Hohle"", ""A. Berndt"", ""M. Kitze"", ""L. Trepl"", ""M. Moualla"", ""T. Eisenbeiß"", ""S. Fiedler"", ""A. Dathe"", ""Ch. Graefe"", ""Nicole Pawellek"", ""K. Schreyer"", ""D. Kjurkchieva"", ""V. Radeva"", ""Vergil Yotov"", ""Wen-Ping Chen"", ""S. C.-L. Hu"", ""Zhongcheng Wu"", ""Xin Zhou"", ""T. Pribulla"", ""J. Budaj"", ""M. Vaňko"", ""E. Kundra"", ""Ľ. Hambálek"", ""V. Krushevska"", ""Ł. Bukowiecki"", ""G. Nowak"", ""Laurence A. Marschall"", ""Hiroshi Terada"", ""D. Tomono"", ""M. Fernández"", ""A. Sota"", ""H. Takahashi"", ""Yumiko Oasa"", ""César Briceño"", ""R. Chini"", ""C. Broeg""]","openalex+crossref","https://openalex.org/W2171596106","2026-06-15 16:14:05"
"work_8329076210b72c93cc3d41ea","person_cb48f61184c23a94e242a734","Transit timing analysis in the HAT-P-32 system","journal-article","Monthly Notices of the Royal Astronomical Society","2014-06-11",51,"[""Martin Seeliger"", ""D. Dimitrov"", ""D. Kjurkchieva"", ""M. Mallonn"", ""M. Fernández"", ""M. Kitze"", ""V. Casanova"", ""G. Maciejewski"", ""J. Ohlert"", ""Judy Schmidt"", ""A. Pannicke"", ""D. Puchalski"", ""Ersin Göğüş"", ""Tolga Güver"", ""S. Bilir"", ""T. Ak"", ""M. M. Hohle"", ""T. O. B. Schmidt"", ""R. Errmann"", ""Eric L. N. Jensen"", ""David H. Cohen"", ""Laurence A. Marschall"", ""G. Saral"", ""I. Bernt"", ""E. Derman"", ""C. Gałan"", ""R. Neuhäuser""]","openalex+crossref","https://openalex.org/W1974141930","2026-06-15 16:13:01"
"work_caeba083e036b0481202745c","person_cb48f61184c23a94e242a734","First spectroscopic observations of the substellar companion of the young debris disk star PZ Telescopii","article","Springer Link (Chiba Institute of Technology)","2014-06-20",16,"[""T. O. B. Schmidt"", ""M. Mugrauer"", ""R. Neuhäuser"", ""N. Vogt"", ""S. Witte"", ""P. H. Hauschildt"", ""Ch. Helling"", ""Andreas Seifahrt""]","openalex","https://openalex.org/W3101254201","2026-06-15 16:14:00"
"work_2c02bec6e0317d5fa839b993","person_cb48f61184c23a94e242a734","Transit timing of TrES-2: a combined analysis of ground- and space-based photometry★","journal-article","Monthly Notices of the Royal Astronomical Society","2014-10-21",37,"[""St. Raetz"", ""G. Maciejewski"", ""C. Ginski"", ""M. Mugrauer"", ""A. Berndt"", ""T. Eisenbeiß"", ""Christian Adam"", ""M. Raetz"", ""T. Roell"", ""Martin Seeliger"", ""C. Marka"", ""M. Vaňko"", ""Ł. Bukowiecki"", ""R. Errmann"", ""M. Kitze"", ""J. Ohlert"", ""T. Pribulla"", ""Judy Schmidt"", ""Daniel Sebastian"", ""D. Puchalski"", ""N. Tetzlaff"", ""M. M. Hohle"", ""T. O. B. Schmidt"", ""R. Neuhäuser""]","openalex+crossref","https://openalex.org/W2065926142","2026-06-15 16:13:08"
"work_cea62c8c33f9faabfce051ae","person_cb48f61184c23a94e242a734","Astrometric follow-up observations of directly imaged sub-stellar companions to young stars and brown dwarfs★","journal-article","Monthly Notices of the Royal Astronomical Society","2014-11-01",71,"[""C. Ginski"", ""T. O. B. Schmidt"", ""M. Mugrauer"", ""R. Neuhäuser"", ""N. Vogt"", ""R. Errmann"", ""A. Berndt""]","openalex+crossref","https://openalex.org/W2030514362","2026-06-15 16:12:51"
"work_6f6b93b2774f2a6fabd39ca4","person_cb48f61184c23a94e242a734","The companion candidate near Fomalhaut – a background neutron star?","journal-article","Monthly Notices of the Royal Astronomical Society","2015-03-21",18,"[""R. Neuhäuser"", ""M. M. Hohle"", ""C. Ginski"", ""Judy Schmidt"", ""V. Hambaryan"", ""T. O. B. Schmidt""]","openalex+crossref","https://openalex.org/W2080370207","2026-06-15 16:13:45"
"work_8d47f56210fee73e1cb0360f","person_cb48f61184c23a94e242a734","Ground-based transit observations of the HAT-P-18, HAT-P-19, HAT-P-27/WASP40 and WASP-21 systems","journal-article","Monthly Notices of the Royal Astronomical Society","2015-08-21",25,"[""Martin Seeliger"", ""M. Kitze"", ""R. Errmann"", ""S. Richter"", ""J. Ohlert"", ""Wu Chen"", ""Jinli Guo"", ""Ersin Göğüş"", ""Tolga Güver"", ""Berk Aydın"", ""S. Mottola"", ""S. Hellmich"", ""M. Fernández"", ""F. J. Aceituno"", ""D. Dimitrov"", ""D. Kjurkchieva"", ""Eric L. N. Jensen"", ""David H. Cohen"", ""E. Kundra"", ""T. Pribulla"", ""M. Vaňko"", ""J. Budaj"", ""M. Mallonn"", ""Zhen Wu"", ""X. Zhou"", ""St. Raetz"", ""Christian Adam"", ""T. O. B. Schmidt"", ""Aljoscha Ide"", ""M. Mugrauer"", ""Laurence A. Marschall"", ""M. Hackstein"", ""R. Chini"", ""Mary E. Haas"", ""T. Ak"", ""E. Güzel"", ""Aykut Özdönmez"", ""C. Ginski"", ""C. Marka"", ""Judy Schmidt"", ""B. Dinçel"", ""K. Werner"", ""A. Dathe"", ""J. Greif"", ""V. Wolf"", ""Sven Buder"", ""A. Pannicke"", ""D. Puchalski"", ""R. Neuhäuser""]","openalex+crossref","https://openalex.org/W2206047146","2026-06-15 16:13:41"
"work_82f897bc1b8438c269c2908f","person_cb48f61184c23a94e242a734","Observations of an extreme planetary system","article","ESS","2015-12-01",0,"[""Stefanie Raetz"", ""T. O. B. Schmidt"", ""César Briceño"", ""R. Neuhäuser""]","openalex","https://openalex.org/W3015100604","2026-06-15 16:14:35"
"work_83699d1529c0b946c69fab60","person_cb48f61184c23a94e242a734","Coronagraphic search for wide substellar companions among members of the Ursa Major moving group","journal-article","Astronomy &amp; Astrophysics","2016-07",9,"[""M. Ammler‐von Eiff"", ""A. Bedalov"", ""C. Kranhold"", ""M. Mugrauer"", ""T. O. B. Schmidt"", ""R. Neuhäuser"", ""R. Errmann""]","openalex+crossref","https://openalex.org/W2297507970","2026-06-15 16:13:56"
"work_893611ac74ae0d6cd226fa7b","person_cb48f61184c23a94e242a734","YETI observations of the young transiting planet candidate CVSO 30 b","journal-article","Monthly Notices of the Royal Astronomical Society","2016-08-11",18,"[""St. Raetz"", ""T. O. B. Schmidt"", ""S. Czesla"", ""T. Klocová"", ""Lewis Holmes"", ""R. Errmann"", ""M. Kitze"", ""M. Fernández"", ""A. Sota"", ""César Briceño"", ""J. I. Gónzalez Hernández"", ""Juan José Downes"", ""D. Dimitrov"", ""D. Kjurkchieva"", ""V. Radeva"", ""Zhen Wu"", ""Xin Zhou"", ""H. Takahashi"", ""Tomáš Henych"", ""Martin Seeliger"", ""M. Mugrauer"", ""Christian Adam"", ""C. Marka"", ""Judy Schmidt"", ""M. M. Hohle"", ""C. Ginski"", ""T. Pribulla"", ""L. Trepl"", ""M. Moualla"", ""Nicole Pawellek"", ""Jakob Gelszinnis"", ""Sven Buder"", ""Suhail Masda"", ""G. Maciejewski"", ""R. Neuhäuser""]","openalex+crossref","https://openalex.org/W2408167942","2026-06-15 16:13:48"
"work_fd2e44790f7b9778f9a343b9","person_cb48f61184c23a94e242a734","Exoplanetary atmospheric sodium revealed by the orbital motion. Narrow-band transmission spectroscopy of HD 189733b with UVES","preprint","ASEP","2016-10-05",32,"[""S. Khalafinejad"", ""C. von Essen"", ""H. J. Hoeijmakers"", ""George Zhou"", ""T. Klocová"", ""J. H. M. M. Schmitt"", ""S. Dreizler"", ""Mercedes López‐Morales"", ""Tim-Oliver Husser"", ""T. O. B. Schmidt"", ""R. Collet""]","openalex","https://openalex.org/W2529786377","2026-06-15 16:14:21"
"work_57aa9b10f95789e0d0630e09","person_cb48f61184c23a94e242a734","Long-term photometry of IC 348 with the Young Exoplanet Transit Initiative network","journal-article","Monthly Notices of the Royal Astronomical Society","2016-11-01",13,"[""D. J. Fritzewski"", ""M. Kitze"", ""M. Mugrauer"", ""R. Neuhäuser"", ""Christian Adam"", ""César Briceño"", ""Sven Buder"", ""T. Butterley"", ""W.-P. Chen"", ""B. Dinçel"", ""V. S. Dhillon"", ""R. Errmann"", ""Z. Garai"", ""H. Gilbert"", ""C. Ginski"", ""J. Greif"", ""L. K. Hardy"", ""J. I. Gónzalez Hernández"", ""Pi‐Chun Huang"", ""Aglaé Kellerer"", ""E. Kundra"", ""S. P. Littlefair"", ""M. Mallonn"", ""C. Marka"", ""A. Pannicke"", ""T. Pribulla"", ""St. Raetz"", ""Judy Schmidt"", ""T. O. B. Schmidt"", ""Martin Seeliger"", ""Richard Wilson"", ""V. Wolf""]","openalex+crossref","https://openalex.org/W2499850730","2026-06-15 16:14:03"
"work_71ec2edf7f8cd75a65e23812","person_cb48f61184c23a94e242a734","Exoplanetary atmospheric sodium revealed by orbital motion","journal-article","Astronomy &amp; Astrophysics","2017-02",63,"[""S. Khalafinejad"", ""C. von Essen"", ""H. J. Hoeijmakers"", ""George Zhou"", ""T. Klocová"", ""J. H. M. M. Schmitt"", ""S. Dreizler"", ""Mercedes López‐Morales"", ""Tim-Oliver Husser"", ""T. O. B. Schmidt"", ""R. Collet""]","openalex+crossref","https://openalex.org/W4297431034","2026-06-15 16:13:10"
"work_f5e09ca42ac5068ee49e1cde","person_cb48f61184c23a94e242a734","Direct Imaging discovery of a second planet candidate around the possibly transiting planet host CVSO 30","article","Springer Link (Chiba Institute of Technology)","2017-03-27",8,"[""T. O. B. Schmidt"", ""R. Neuhäuser"", ""César Briceño"", ""N. Vogt"", ""St. Raetz"", ""Andreas Seifahrt"", ""C. Ginski"", ""M. Mugrauer"", ""Sven Buder"", ""Christian Adam"", ""P. H. Hauschildt"", ""S. Witte"", ""Ch. Helling"", ""J. H. M. M. Schmitt""]","openalex","https://openalex.org/W3103877547","2026-06-15 16:14:06"
